Year,Division,Category,Dance_Type,Team_Size,Is_Coed,Rank,Is_Champion,Is_Podium,Is_Top_10,Studio_Name,Team_Name,Country
2015,Senior,Senior Pom,Pom,Standard,No,3,0,1,1,Dancer'S Edge Studio,Dancers Edge,USA
2015,Senior,Senior Pom,Pom,Standard,No,4,0,0,1,Dancin Bluebonnets,Dancin' Bluebonnets,USA
2015,Senior,Senior Pom,Pom,Standard,No,5,0,0,1,South Coast Freestyle,South Coast Freestyle,USA
2015,Senior,Senior Pom,Pom,Standard,No,6,0,0,1,Star Performance Centre,Star Performance Centre,USA
2015,Senior,Senior Pom,Pom,Standard,No,7,0,0,1,Power Of Dance Llc,"Power Of Dance, Llc - Polaris",USA
2015,Senior,Senior Pom,Pom,Standard,No,8,0,0,1,Pace Elite,Pace Elite,USA
2015,Senior,Senior Pom,Pom,Standard,No,9,0,0,1,Xtreme Dance,Xtreme Dance,USA
2015,Senior,Senior Pom,Pom,Standard,No,10,0,0,1,Champion Legacy,Champion Legacy,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,1,1,1,1,Pittsburgh Poison,Pittsburgh Poison - Dart Frogs,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,2,0,1,1,Midwest Cheer Elite,Midwest Cheer Elite - Tribe,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,3,0,1,1,Goddesses Dance Team - Goddesses,Goddesses Dance Team,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,4,0,0,1,Gold Star All Stars Cheer And Dance,Gold Star - Live,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,5,0,0,1,Perfection Cheer & Dance Academy,Perfection All Stars - Eminence,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,6,0,0,1,Midwest Cheer Elite Cleveland,Midwest Cheer Elite Cleveland - Black Ice Krew,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,7,0,0,1,Top Gun All Stars Main Location Miami,Top Gun All Stars - Wimos,USA
2015,Senior,Senior Small Coed Hip Hop,Hip Hop,Small,Yes,8,0,0,1,The Matrix Allstars Ii,The Matrix Allstars - Mxd,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,1,1,1,1,Legendary Athletics North,Legendary Athletics,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,2,0,1,1,Prismatic,Prismatic,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,3,0,1,1,Premier Athletics - Clayton Shockers,Premier Athletics - Clayton Shockers - Senior Big Diprz,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,4,0,0,1,(Dup)Valley Cheer And Dance,Eastern Washington Elite,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,5,0,0,1,La Royal Crew,La Royal Crew,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,6,0,0,1,Pittsburgh Poison,Pittsburgh Poison - Black Widows,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,7,0,0,1,Strut Performing Arts,Strut Performing Arts,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,8,0,0,1,Bellevue Performance Dance Academy - Senior Black,Bellevue Performance Dance Academy - Black Hip Hop,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,9,0,0,1,Footnotes Fusion,Footnotes Dance Studio,USA
2015,Senior,Senior Small Hip Hop,Hip Hop,Small,No,10,0,0,1,Pittsburgh Pride All Stars,Pittsburgh Pride All Stars - Pulse,USA
2016,Junior,Junior Dance,Junior Dance,Standard,No,1,1,1,1,Dancer'S Edge Studio,Dancer'S Edge Studio,USA
2016,Junior,Junior Dance,Junior Dance,Standard,No,2,0,1,1,The Vision Dance Center,The Vision Dance Center,USA
2016,Junior,Junior Dance,Junior Dance,Standard,No,3,0,1,1,Dancin Bluebonnets,Dancin' Bluebonnets,USA
2016,Junior,Junior Dance,Junior Dance,Standard,No,4,0,0,1,Manabiya,Manabiya - Dreams,Ecuador
2016,Junior,Junior Dance,Junior Dance,Standard,No,5,0,0,1,Jexer Fitness Cuib Omiya,Jexer Fitness Cuib Omiya - Zingys,Japan
2016,Junior,Junior Dance,Junior Dance,Standard,No,6,0,0,1,Spg Dance Project,Spg Dance Project - H Beat Beans,USA
2016,Junior,Junior Dance,Junior Dance,Standard,No,7,0,0,1,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza,Ecuador
2016,Junior,Junior Dance,Junior Dance,Standard,No,8,0,0,1,Escuela De Danza Adriana Yepez,Escuela De Danza Adriana Yepez,Ecuador
2016,Junior,Junior Dance,Junior Dance,Standard,No,9,0,0,1,Team Ukraine,Ukraine - Grace,Ukraine
2016,Junior,Junior Dance,Junior Dance,Standard,No,10,0,0,1,Black Out Company,Black Out Company,Unknown
2016,Junior,Junior Dance,Junior Dance,Standard,No,11,0,0,0,Club Mountain Envigado,Club Mountain Envigado,Colombia
2016,Junior,Junior Dance,Junior Dance,Standard,No,12,0,0,0,Colegio Palermo De Medellin,Colegio Palermo De Medellin,Colombia
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,1,1,1,1,Next Level Dance Co,Next Level Dance Co - Supremacy,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,2,0,1,1,Extreme All Stars | Florida,Extreme All Stars,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,3,0,1,1,Ada,Ada - Dark Angels,England
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,4,0,0,1,Pittsburgh Poison,Pittsburgh Poison - Black Frogs,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,5,0,0,1,Uis,Uis,Japan
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,6,0,0,1,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Soldiers Evolution,Ecuador
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,7,0,0,1,Tec De Monterrey,Tec De Monterrey,Mexico
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,8,0,0,1,Team Puerto Rico,Team Puerto Rico,Puerto Rico
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,9,0,0,1,Upac,Upac - Rhythm Panthers,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,10,0,0,1,Tanzhaus Potsdam,Tanzhaus Potsdam - The Rokkaz,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,11,0,0,0,Hy-Fidelity Dance,Hy-Fidelity Dance - Supreme Krew,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,12,0,0,0,Network Medellin,Network Medellin - Network Dance,Colombia
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,13,0,0,0,Tanz Regens,Tanz Regens - Hypnotic,Ecuador
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,14,0,0,0,Yo Dance,Yo Dance,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,15,0,0,0,Starlight,Starlight,USA
2016,Open,Open Coed Hip Hop,Hip Hop,Standard,Yes,16,0,0,0,Spirit All Stars Guatemala,Spirit All Stars Guatemala,Guatemala
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,1,1,1,1,Dance Dynamics,Dance Dynamics,USA
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,2,0,1,1,Pace Elite,Pace Elite,USA
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,3,0,1,1,Rocheer & Factory All-Stars,Rocheer & Factory All-Stars,Mexico
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,4,0,0,1,All Star Studio 74,All Star Studio 74,Mexico
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,5,0,0,1,Strut Performing Arts,Strut Performing Arts,USA
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,6,0,0,1,Team Puerto Rico,Team Puerto Rico,Puerto Rico
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,7,0,0,1,Dreamtyme,Dreamtyme,USA
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,8,0,0,1,Upac,Upac - Rhythm Panthers,USA
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,9,0,0,1,Centro Artistico Yesenea Mendoza,Centro Artistico Yesenea Mendoza - Tore My Heart,Ecuador
2016,Open,Open Coed Jazz,Jazz,Standard,Yes,10,0,0,1,Balleteatro Dominicano,Academia Balleteatro Dominicano - Hispanic Dance Company,Canada
2016,Open,Open Coed Pom,Pom,Standard,Yes,1,1,1,1,Rocheer & Factory All-Stars,Rocheer & Factory All-Stars,Mexico
2016,Open,Open Coed Pom,Pom,Standard,Yes,2,0,1,1,Pace Elite,Pace Elite,USA
2016,Open,Open Coed Pom,Pom,Standard,Yes,3,0,1,1,Energizers Dance Team,Energizers Dance Team,USA
2016,Open,Open Coed Pom,Pom,Standard,Yes,4,0,0,1,All Star Studio 74,All Star Studio 74,Mexico
2016,Open,Open Coed Pom,Pom,Standard,Yes,5,0,0,1,Dance Mania,Dance Mania All-Stars,USA
2016,Open,Open Coed Pom,Pom,Standard,Yes,6,0,0,1,Team Puerto Rico,Team Puerto Rico,Puerto Rico
